ECnumber	Substrate	Organism	Kcat	metGroups
EC1.1.1.1	1-propanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2.6	CEM//ALM//ISM
EC1.1.1.1	11-cis-retinal	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.021	CEM//ALM//ISM
EC1.1.1.1	11-cis-retinol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.022	CEM//ALM//ISM
EC1.1.1.1	12-hydroxydodecanoate	coturnix coturnix//*//*	1.45	CEM//ALM//ISM
EC1.1.1.1	12-hydroxydodecanoate	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	4	CEM//ALM//ISM
EC1.1.1.1	12-hydroxydodecanoate	mesocricetus auratus//*//*	2.77	CEM//ALM//ISM
EC1.1.1.1	12-hydroxydodecanoate	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	20	CEM//ALM//ISM
EC1.1.1.1	12-hydroxydodecanoic acid	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.333	CEM//ALM//ISM
EC1.1.1.1	12-hydroxylauric acid methyl ester	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	27.6	CEM//ALM//ISM
EC1.1.1.1	12-oxolauric acid methyl ester	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	308	CEM//ALM//ISM
EC1.1.1.1	13-cis-retinal	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.018	CEM//ALM//ISM
EC1.1.1.1	13-cis-retinol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.018	CEM//ALM//ISM
EC1.1.1.1	16-hydroxyhexadecanoate	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	6.17	CEM//ALM//ISM
EC1.1.1.1	2',3',4',5',6'-pentafluoroacetophenone	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	3.2	CEM//ALM//ISM
EC1.1.1.1	2,2,2-trifluoroacetophenone	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	10	CEM//ALM//ISM
EC1.1.1.1	2,2,2-trifluoroacetophenone	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	25.5	CEM//ALM//ISM
EC1.1.1.1	2,2-dichloroacetophenone	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	0.65	CEM//ALM//ISM
EC1.1.1.1	2,3-butanediol	thermococcus kodakarensis//prokaryotes;archaea;euryarchaeota;thermococcus//tko	43.8	CEM//ALM//ISM
EC1.1.1.1	2-butanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.48	CEM//ALM//ISM
EC1.1.1.1	2-butanol	mesocricetus auratus//*//*	4.75	CEM//ALM//ISM
EC1.1.1.1	2-butanone	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.12	CEM//ALM//ISM
EC1.1.1.1	2-buten-1-ol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	213	CEM//ALM//ISM
EC1.1.1.1	2-decanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.4	CEM//ALM//ISM
EC1.1.1.1	2-deoxy-d-ribose	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.83	CEM//ALM//ISM
EC1.1.1.1	2-ethoxyethanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.6	CEM//ALM//ISM
EC1.1.1.1	2-heptanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.73	CEM//ALM//ISM
EC1.1.1.1	2-hexanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	1.08	CEM//ALM//ISM
EC1.1.1.1	2-nonanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.7	CEM//ALM//ISM
EC1.1.1.1	2-octanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.74	CEM//ALM//ISM
EC1.1.1.1	2-pentanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.6	CEM//ALM//ISM
EC1.1.1.1	2-pentanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.77	CEM//ALM//ISM
EC1.1.1.1	2-pentanone	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.0713	CEM//ALM//ISM
EC1.1.1.1	2-propanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.24	CEM//ALM//ISM
EC1.1.1.1	2-propanol	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	287	CEM//ALM//ISM
EC1.1.1.1	2-propanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.75	CEM//ALM//ISM
EC1.1.1.1	2-propanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	0.45	CEM//ALM//ISM
EC1.1.1.1	3,4-dihydro-retinal	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.22	CEM//ALM//ISM
EC1.1.1.1	3,4-dihydro-retinol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	2.5	CEM//ALM//ISM
EC1.1.1.1	3-bromobenzyl alcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2	CEM//ALM//ISM
EC1.1.1.1	3-bromobenzylalcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.2	CEM//ALM//ISM
EC1.1.1.1	3-methoxybenzaldehyde	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	3.1	CEM//ALM//ISM
EC1.1.1.1	3-methoxybenzyl alcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	16	CEM//ALM//ISM
EC1.1.1.1	3-methoxybenzylalcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.4	CEM//ALM//ISM
EC1.1.1.1	3-methyl-1-butanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.27	CEM//ALM//ISM
EC1.1.1.1	3-methyl-cyclohexanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	7.72	CEM//ALM//ISM
EC1.1.1.1	3-methylbutan-2-one	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.22	CEM//ALM//ISM
EC1.1.1.1	3-methylcyclohexanone	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	3.8	CEM//ALM//ISM
EC1.1.1.1	3-methylcyclohexanone	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	2.17	CEM//ALM//ISM
EC1.1.1.1	3-oxo-5beta-androstan-17beta-ol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	2.05	CEM//ALM//ISM
EC1.1.1.1	3-pentanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	2.26	CEM//ALM//ISM
EC1.1.1.1	3-pentanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.5	CEM//ALM//ISM
EC1.1.1.1	3-pentanone	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.36	CEM//ALM//ISM
EC1.1.1.1	3-phenyl-1-propanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	7.5	CEM//ALM//ISM
EC1.1.1.1	3-pyridylcarbinol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.683	CEM//ALM//ISM
EC1.1.1.1	4-bromobenzyl alcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	3.5	CEM//ALM//ISM
EC1.1.1.1	4-bromobenzylalcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.1	CEM//ALM//ISM
EC1.1.1.1	4-carboxybenzaldehyde	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	0.7	CEM//ALM//ISM
EC1.1.1.1	4-chloroacetophenone	rhodococcus ruber//prokaryotes;bacteria;actinobacteria;rhodococcus//rrz	432	CEM//ALM//ISM
EC1.1.1.1	4-hydroxy-retinol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	34.2	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzaldehyde	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	3.3	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzaldehyde	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	3.1	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzyl alcohol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.6	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzyl alcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	20.5	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzyl alcohol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	1.6	CEM//ALM//ISM
EC1.1.1.1	4-methoxybenzylalcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.5	CEM//ALM//ISM
EC1.1.1.1	4-methoxyphenylacetone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.071	CEM//ALM//ISM
EC1.1.1.1	4-methyl-1-pentanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	6.7	CEM//ALM//ISM
EC1.1.1.1	4-nitrobenzaldehyde	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	4.6	CEM//ALM//ISM
EC1.1.1.1	4-oxo-retinal	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	20	CEM//ALM//ISM
EC1.1.1.1	5beta-pregnan-21-ol-3,20-dione hemisuccinate	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.9	CEM//ALM//ISM
EC1.1.1.1	9-cis-retinal	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.023	CEM//ALM//ISM
EC1.1.1.1	9-cis-retinol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.025	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	31.8	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	681	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	geobacillus thermodenitrificans//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gtn	404.8	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	kluyveromyces marxianus//eukaryotes;fungi;ascomycetes;saccharomycetes//kmx	283	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	natronomonas pharaonis//prokaryotes;archaea;euryarchaeota;natronomonas//nph	5.4	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	ogataea angusta//*//*	3500	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	parageobacillus thermoglucosidans//*//*	350	CEM//ALM//ISM
EC1.1.1.1	acetaldehyde	saimiri sciureus//*//*	16.7	CEM//ALM//ISM
EC1.1.1.1	acetoin	thermococcus kodakarensis//prokaryotes;archaea;euryarchaeota;thermococcus//tko	13.7	CEM//ALM//ISM
EC1.1.1.1	acetone	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.33	CEM//ALM//ISM
EC1.1.1.1	acetone	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	0.317	CEM//ALM//ISM
EC1.1.1.1	acetophenone	rhodococcus ruber//prokaryotes;bacteria;actinobacteria;rhodococcus//rrz	288	CEM//ALM//ISM
EC1.1.1.1	all-trans retinol	mesocricetus auratus//*//*	1.9	CEM//ALM//ISM
EC1.1.1.1	all-trans-retinal	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	2.5	CEM//ALM//ISM
EC1.1.1.1	all-trans-retinal	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	1.83	CEM//ALM//ISM
EC1.1.1.1	all-trans-retinol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	1.55	CEM//ALM//ISM
EC1.1.1.1	all-trans-retinol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.9	CEM//ALM//ISM
EC1.1.1.1	alpha-tetralol	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	48.1	CEM//ALM//ISM
EC1.1.1.1	alpha-tetralone	thermus thermophilus//prokaryotes;bacteria;deinococcus-thermus;thermus//tth	7.7	CEM//ALM//ISM
EC1.1.1.1	anisaldehyde	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	0.983	CEM//ALM//ISM
EC1.1.1.1	benzaldehyde	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	1.22	CEM//ALM//ISM
EC1.1.1.1	benzaldehyde	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	29.5	CEM//ALM//ISM
EC1.1.1.1	benzaldehyde	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	11.3	CEM//ALM//ISM
EC1.1.1.1	benzaldehyde	yokenella sp.//*//*	360	CEM//ALM//ISM
EC1.1.1.1	benzil	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	1.6	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	1.02	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	coturnix coturnix//*//*	2.52	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.78	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	24.9	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	9.17	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	mesocricetus auratus//*//*	1.37	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	moraxella sp.//*//*	6.9	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	89.7	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	14.5	CEM//ALM//ISM
EC1.1.1.1	benzyl alcohol	yokenella sp.//*//*	93.3	CEM//ALM//ISM
EC1.1.1.1	benzylalcohol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.4	CEM//ALM//ISM
EC1.1.1.1	butan-1-ol	coturnix coturnix//*//*	7.22	CEM//ALM//ISM
EC1.1.1.1	butan-1-ol	mycobacterium sp.//prokaryotes;bacteria;actinobacteria;mycobacterium//msa	2	CEM//ALM//ISM
EC1.1.1.1	butan-1-ol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.97	CEM//ALM//ISM
EC1.1.1.1	butan-2-ol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	11.9	CEM//ALM//ISM
EC1.1.1.1	butan-2-ol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	3.55	CEM//ALM//ISM
EC1.1.1.1	butan-2-one	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.93	CEM//ALM//ISM
EC1.1.1.1	butanal	mycobacterium sp.//prokaryotes;bacteria;actinobacteria;mycobacterium//msa	102	CEM//ALM//ISM
EC1.1.1.1	butanal	saccharomyces cerevisiae//eukaryotes;fungi;ascomycetes;saccharomycetes//sce	1.99	CEM//ALM//ISM
EC1.1.1.1	butanol	alligator mississippiensis//eukaryotes;animals;vertebrates;reptiles//amj	1.1	CEM//ALM//ISM
EC1.1.1.1	butanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	118	CEM//ALM//ISM
EC1.1.1.1	butanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	34.8	CEM//ALM//ISM
EC1.1.1.1	butanol	saimiri sciureus//*//*	0.45	CEM//ALM//ISM
EC1.1.1.1	butyl alcohol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	0.94	CEM//ALM//ISM
EC1.1.1.1	butyraldehyde	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	35.4	CEM//ALM//ISM
EC1.1.1.1	butyraldehyde	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	931	CEM//ALM//ISM
EC1.1.1.1	capronaldehyde	rhodococcus ruber//prokaryotes;bacteria;actinobacteria;rhodococcus//rrz	576	CEM//ALM//ISM
EC1.1.1.1	cinnamaldehyde	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	55	CEM//ALM//ISM
EC1.1.1.1	cinnamyl alcohol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	133	CEM//ALM//ISM
EC1.1.1.1	cinnamyl alcohol	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	43	CEM//ALM//ISM
EC1.1.1.1	cis-decahydro-1-naphthol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	0.98	CEM//ALM//ISM
EC1.1.1.1	cycloheptanol	sulfolobus acidocaldarius//prokaryotes;archaea;crenarchaeota;sulfolobus//sai	7	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.52	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	alligator mississippiensis//eukaryotes;animals;vertebrates;reptiles//amj	0.167	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	coturnix coturnix//*//*	3.55	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	0.583	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	mesocricetus auratus//*//*	8.5	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	1.75	CEM//ALM//ISM
EC1.1.1.1	cyclohexanol	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.2	CEM//ALM//ISM
EC1.1.1.1	cyclohexanone	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	1.27	CEM//ALM//ISM
EC1.1.1.1	cyclohexanone	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	5.9	CEM//ALM//ISM
EC1.1.1.1	cyclopentanone	sulfolobus solfataricus//prokaryotes;archaea;crenarchaeota;sulfolobus//sso	1.02	CEM//ALM//ISM
EC1.1.1.1	ethanol	aeropyrum pernix//prokaryotes;archaea;crenarchaeota;aeropyrum//ape	0.23	CEM//ALM//ISM
EC1.1.1.1	ethanol	alligator mississippiensis//eukaryotes;animals;vertebrates;reptiles//amj	0.467	CEM//ALM//ISM
EC1.1.1.1	ethanol	coturnix coturnix//*//*	6.63	CEM//ALM//ISM
EC1.1.1.1	ethanol	equus caballus//eukaryotes;animals;vertebrates;mammals//ecb	308	CEM//ALM//ISM
EC1.1.1.1	ethanol	flavobacterium frigidimaris//*//*	474.9	CEM//ALM//ISM
EC1.1.1.1	ethanol	geobacillus stearothermophilus//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gse	305	CEM//ALM//ISM
EC1.1.1.1	ethanol	geobacillus thermodenitrificans//prokaryotes;bacteria;firmicutes - bacilli;geobacillus//gtn	638.7	CEM//ALM//ISM
EC1.1.1.1	ethanol	homo sapiens//eukaryotes;animals;vertebrates;mammals//hsa	30.7	CEM//ALM//ISM
EC1.1.1.1	ethanol	kluyveromyces marxianus//eukaryotes;fungi;ascomycetes;saccharomycetes//kmx	158	CEM//ALM//ISM
EC1.1.1.1	ethanol	mesocricetus auratus//*//*	9.58	CEM//ALM//ISM
EC1.1.1.1	ethanol	mus musculus//eukaryotes;animals;vertebrates;mammals//mmu	215	CEM//ALM//ISM
EC1.1.1.1	ethanol	natronomonas pharaonis//prokaryotes;archaea;euryarchaeota;natronomonas//nph	8.2	CEM//ALM//ISM
EC1.1.1.1	ethanol	ogataea angusta//*//*	3000	CEM//ALM//ISM
EC1.1.1.1	ethanol	picrophilus torridus//prokaryotes;archaea;euryarchaeota;picrophilus//pto	0.00086	CEM//ALM//ISM
EC1.1.1.1	ethanol	rattus norvegicus//eukaryotes;animals;vertebrates;mammals//rno	62.7	CEM//ALM//ISM
EC1.1.1.1	ethanol	saccharomyces cerevisiae//eukaryotes;fungi;ascomycetes;saccharomycetes//sce	895.4	CEM//ALM//ISM
