,KM [mM],RIDS,MIDS
125,0.63062704,Kt2pp,h_p
126,0.64678246,Kt2pp,k_c
127,0.64678246,Kt2pp,k_p
128,0.63062704,Kt2pp,h_c
129,0.5730785,CO2tex,co2_p
130,0.5730785,CO2tex,co2_e
131,1.00659,ACP1_FMN,h2o_c
132,0.03650072,ACP1_FMN,fmn_c
133,0.037937026,ACP1_FMN,ribflv_c
134,0.5620157,ACP1_FMN,pi_c
135,0.29517102,NTD10pp,pi_p
136,0.14419875,NTD10pp,xtsn_p
137,0.8963159,NTD10pp,h2o_p
138,0.18973847,NTD10pp,xmp_p
139,0.88779694,FRUURt2rpp,h_p
140,0.6609423,FRUURt2rpp,fruur_p
141,0.6609423,FRUURt2rpp,fruur_c
142,0.88779694,FRUURt2rpp,h_c
143,0.0899442,QMO2,o2_c
144,0.021390412,QMO2,q8_c
145,0.032545082,QMO2,q8h2_c
146,0.4760024,QMO2,o2s_c
147,0.9626824,QMO2,h_c
148,0.66096985,HKNDDH,succ_c
149,1.5581608,HKNDDH,h2o_c
150,0.3326036,HKNDDH,hkndd_c
151,1.7220796,HKNDDH,h_c
152,0.70910937,HKNDDH,op4en_c
153,1.0091157,PTRCt2pp,h_p
154,0.33044332,PTRCt2pp,ptrc_c
155,0.33044332,PTRCt2pp,ptrc_p
156,1.0091157,PTRCt2pp,h_c
157,1.069722,ASPt2_3pp,h_p
158,0.69635755,ASPt2_3pp,asp__L_p
159,1.069722,ASPt2_3pp,h_c
160,0.69635755,ASPt2_3pp,asp__L_c
161,0.075995244,MALTHXabcpp,adp_c
162,0.06657078,MALTHXabcpp,atp_c
163,0.58609223,MALTHXabcpp,h2o_c
164,0.0451732,MALTHXabcpp,malthx_c
165,0.0451732,MALTHXabcpp,malthx_p
166,0.27507895,MALTHXabcpp,pi_c
167,0.67310685,MALTHXabcpp,h_c
168,0.06155372,UPP3MT,amet_c
169,0.018202199,UPP3MT,dscl_c
170,0.018225921,UPP3MT,uppg3_c
171,0.049415767,UPP3MT,ahcys_c
172,0.46398205,UPP3MT,h_c
173,0.46306002,GPDDA5,h2o_c
174,0.28295058,GPDDA5,glyc3p_c
175,0.3420218,GPDDA5,g3pi_c
176,0.6130882,GPDDA5,h_c
177,0.8378447,GPDDA5,inost_c
178,0.21793279,CYSItpp,cysi__L_p
179,0.21793279,CYSItpp,cysi__L_c
180,1.1545922,URDGLYCD,urdglyc_c
181,0.2478393,URDGLYCD,nad_c
182,1.2413316,URDGLYCD,oxur_c
183,14.82976,URDGLYCD,h_c
184,0.12840675,URDGLYCD,nadh_c
185,1.2234612,SBTPD,f6p_c
186,0.1782881,SBTPD,nad_c
187,1.4985727,SBTPD,sbt6p_c
188,4.8188267,SBTPD,h_c
189,0.09799005,SBTPD,nadh_c
190,0.9501099,NI2tpp,ni2_c
191,0.9501099,NI2tpp,ni2_p
192,0.14155285,DGSNt2pp,h_p
193,0.07188649,DGSNt2pp,dgsn_p
194,0.07188649,DGSNt2pp,dgsn_c
195,0.14155285,DGSNt2pp,h_c
196,1.3612858,TYRL,dhgly_c
197,0.025122434,TYRL,nadph_c
198,0.03166731,TYRL,4crsol_c
199,0.28206474,TYRL,tyr__L_c
200,0.114251755,TYRL,amet_c
201,0.0400764,TYRL,nadp_c
202,1.199061,TYRL,met__L_c
203,6.433235,TYRL,h_c
204,0.084777564,TYRL,dad_5_c
205,0.069526345,NADS1,atp_c
206,0.11220661,NADS1,nad_c
207,0.108089365,NADS1,dnad_c
208,0.07837543,NADS1,amp_c
209,0.10214049,NADS1,nh4_c
210,0.37588823,NADS1,ppi_c
211,0.0608099,NADS1,h_c
212,0.14755015,DHCINDO,o2_c
213,0.087060854,DHCINDO,hkntd_c
214,0.048392452,DHCINDO,dhcinnm_c
215,1.0440576,DHCINDO,h_c
216,1.0287604,KDOPP,h2o_c
217,0.5238558,KDOPP,kdo_c
218,0.3665859,KDOPP,pi_c
219,0.15289913,KDOPP,kdo8p_c
220,0.049319178,ETHAAL,etha_c
221,0.7137749,ETHAAL,nh4_c
222,0.13804743,ETHAAL,acald_c
223,0.1465446,AKGtex,akg_e
224,0.1465446,AKGtex,akg_p
225,0.12764251,VALabcpp,adp_c
226,0.13457407,VALabcpp,atp_c
227,0.42901602,VALabcpp,h2o_c
228,0.8034241,VALabcpp,val__L_c
229,0.8034241,VALabcpp,val__L_p
230,0.4362428,VALabcpp,pi_c
231,0.55588716,VALabcpp,h_c
232,0.27492613,FE2tex,fe2_e
233,0.27492613,FE2tex,fe2_p
234,1.6841404,PGL,h2o_c
235,0.25376636,PGL,6pgl_c
236,1.6870459,PGL,h_c
237,0.2436372,PGL,6pgc_c
238,0.25169805,QUIN2tex,quin_e
239,0.25169805,QUIN2tex,quin_p
240,0.041405853,CD2abcpp,adp_c
241,0.05141346,CD2abcpp,atp_c
242,0.29169357,CD2abcpp,h2o_c
243,0.1928813,CD2abcpp,cd2_c
244,0.1928813,CD2abcpp,cd2_p
245,0.14226595,CD2abcpp,pi_c
246,0.19527107,CD2abcpp,h_c
247,0.15653342,GUAtpp,gua_c
248,0.15653342,GUAtpp,gua_p
249,1.5812984,ACLS,alac__S_c
250,3.932375,ACLS,co2_c
251,5.887202,ACLS,pyr_c
252,3.1551504,ACLS,h_c
253,0.23239887,G3PCtex,g3pc_e
254,0.23239887,G3PCtex,g3pc_p
255,0.13566305,PERD,4per_c
256,0.06286171,PERD,nad_c
257,0.11854259,PERD,ohpb_c
258,2.0540924,PERD,h_c
259,0.048775733,PERD,nadh_c
260,0.43731874,MNLptspp,mnl1p_c
261,0.113544494,MNLptspp,pep_c
262,1.1036204,MNLptspp,mnl_p
263,0.4272154,MNLptspp,pyr_c
264,0.5799124,SELtex,sel_p
265,0.5799124,SELtex,sel_e
266,0.37335488,G3PStex,g3ps_e
267,0.37335488,G3PStex,g3ps_p
268,0.17608874,LEUtex,leu__L_e
269,0.17608874,LEUtex,leu__L_p
270,0.13710257,PSCLYStex,psclys_e
271,0.13710257,PSCLYStex,psclys_p
272,0.12780441,FUMtex,fum_p
273,0.12780441,FUMtex,fum_e
274,0.059068102,GAPD,nad_c
275,0.1982909,GAPD,g3p_c
276,0.12489743,GAPD,13dpg_c
277,0.48716834,GAPD,pi_c
278,2.1304176,GAPD,h_c
279,0.03405243,GAPD,nadh_c
280,0.5152609,PROt2rpp,h_p
281,0.28712144,PROt2rpp,pro__L_c
282,0.28712144,PROt2rpp,pro__L_p
283,0.5152609,PROt2rpp,h_c
284,0.66486806,HEXt2rpp,h_p
285,0.4005363,HEXt2rpp,hxa_c
286,0.4005363,HEXt2rpp,hxa_p
287,0.66486806,HEXt2rpp,h_c
288,0.94396996,GLYCDx,dha_c
289,0.052010573,GLYCDx,nad_c
290,6.002713,GLYCDx,glyc_c
291,4.286391,GLYCDx,h_c
292,0.052631892,GLYCDx,nadh_c
293,0.3755705,ARGtex,arg__L_e
294,0.3755705,ARGtex,arg__L_p
295,0.02567754,GLYK,adp_c
296,0.024612283,GLYK,atp_c
297,0.15390544,GLYK,glyc3p_c
298,0.10640649,GLYK,glyc_c
299,0.04713675,GLYK,h_c
300,0.27889356,FBA3,dhap_c
301,0.23653474,FBA3,e4p_c
302,0.21661128,FBA3,s17bp_c
303,0.021355582,TDPDRR,nadph_c
304,0.07981742,TDPDRR,dtdp4d6dm_c
305,0.03881447,TDPDRR,nadp_c
306,0.91340345,TDPDRR,h_c
307,0.12885164,TDPDRR,dtdprmn_c
308,0.33295858,TTRCYCtpp,h_p
309,0.0658514,TTRCYCtpp,ttrcyc_p
310,0.0658514,TTRCYCtpp,ttrcyc_e
311,0.33295858,TTRCYCtpp,h_c
312,1.2411792,AB6PGH,h2o_c
313,0.04680228,AB6PGH,hqn_c
314,0.14555228,AB6PGH,arbt6p_c
315,0.98536706,AB6PGH,g6p_c
316,2.1814,TARTD,h2o_c
317,0.22919065,TARTD,tartr__L_c
318,0.30278763,TARTD,oaa_c
319,0.3155077,DURIPP,2dr1p_c
320,0.20450006,DURIPP,duri_c
321,0.23716083,DURIPP,ura_c
322,0.2795807,DURIPP,pi_c
323,0.1396341,MALTTTRtexi,maltttr_e
324,0.1396341,MALTTTRtexi,maltttr_p
325,0.11191507,DUMPtex,dump_e
326,0.11191507,DUMPtex,dump_p
327,0.57197475,METDtex,met__D_e
328,0.57197475,METDtex,met__D_p
329,0.5427161,RNTR3c2,h2o_c
330,0.11609453,RNTR3c2,ctp_c
331,0.025298674,RNTR3c2,dctp_c
332,1.2559426,RNTR3c2,h2o_c
333,0.36277404,RNTR3c2,ctp_c
334,0.10627956,RNTR3c2,dctp_c
335,1.4929836,FE2t3pp,h_p
336,1.5528122,FE2t3pp,fe2_p
337,1.5528122,FE2t3pp,fe2_c
338,1.4929836,FE2t3pp,h_c
339,0.94920546,NNAM,h2o_c
340,2.3346372,NNAM,nh4_c
341,0.03398033,NNAM,ncam_c
342,0.06997577,NNAM,nac_c
343,1.1146923,CU1Opp,h_p
344,1.1088548,CU1Opp,cu_p
345,0.06313682,CU1Opp,o2_p
346,1.1088548,CU1Opp,cu2_p
347,1.1450746,CU1Opp,h2o_p
348,0.08903598,PACALDtex,pacald_e
349,0.08903598,PACALDtex,pacald_p
350,0.036774237,NDPK2,adp_c
351,0.028196003,NDPK2,atp_c
352,0.22817214,NDPK2,utp_c
353,0.22918822,NDPK2,udp_c
354,0.23180436,3NTD4pp,3cmp_p
355,0.36129466,3NTD4pp,pi_p
356,0.4225187,3NTD4pp,cytd_p
357,0.30258575,3NTD4pp,h2o_p
358,0.36228144,TREptspp,tre_p
359,0.22998519,TREptspp,pep_c
360,0.46054482,TREptspp,tre6p_c
361,0.34424442,TREptspp,pyr_c
362,0.07742636,ACCOAC,adp_c
363,0.07925754,ACCOAC,atp_c
364,0.03863601,ACCOAC,accoa_c
365,0.027490998,ACCOAC,malcoa_c
366,0.5014467,ACCOAC,pi_c
367,0.41706908,ACCOAC,h_c
368,0.8170114,ACCOAC,hco3_c
369,0.13635686,MALTPTtexi,maltpt_p
370,0.13635686,MALTPTtexi,maltpt_e
371,0.51473963,ZN2tpp,zn2_p
372,0.51473963,ZN2tpp,zn2_c
373,0.2750165,SPMS,ptrc_c
374,0.014360666,SPMS,5mta_c
375,0.12914234,SPMS,spmd_c
376,0.5204344,SPMS,h_c
377,0.016187109,SPMS,ametam_c
378,0.089920625,CTBTCAL2,adp_c
379,0.09922724,CTBTCAL2,atp_c
380,0.026928935,CTBTCAL2,coa_c
381,0.54384094,CTBTCAL2,ctbt_c
382,0.45009446,CTBTCAL2,pi_c
383,0.086137585,CTBTCAL2,ctbtcoa_c
384,0.42578125,MN2tipp,mn2_c
385,0.42578125,MN2tipp,mn2_p
386,0.2225369,PPTHpp,pi_p
387,0.12540318,PPTHpp,h2_p
388,0.32459277,PPTHpp,ppt_p
389,0.1396916,PPTHpp,h2o_p
390,0.49374682,PIt2rpp,h_p
391,0.19533476,PIt2rpp,pi_p
392,0.19533476,PIt2rpp,pi_c
393,0.49374682,PIt2rpp,h_c
394,0.10156486,23CUMPtex,23cump_e
395,0.10156486,23CUMPtex,23cump_p
396,0.16082042,XMPtex,xmp_e
397,0.16082042,XMPtex,xmp_p
398,0.23194687,UDPG4E,udpg_c
399,0.32528833,UDPG4E,udpgal_c
400,0.3112097,SSALx,succ_c
401,1.3271009,SSALx,h2o_c
402,0.3167716,SSALx,nad_c
403,0.20550278,SSALx,sucsal_c
404,1.4202123,SSALx,h_c
405,0.14859836,SSALx,nadh_c
406,0.052010573,ALR4x,nad_c
407,3.6797788,ALR4x,12ppd__R_c
408,1.9067199,ALR4x,acetol_c
409,4.286391,ALR4x,h_c
410,0.052631892,ALR4x,nadh_c
411,0.097988784,HACD2,nad_c
412,0.042434238,HACD2,3hhcoa_c
413,0.04819164,HACD2,3ohcoa_c
414,4.2309384,HACD2,h_c
415,0.053577058,HACD2,nadh_c
416,0.38014305,MALDt2_2pp,h_p
417,0.14889851,MALDt2_2pp,mal__D_c
418,0.38014305,MALDt2_2pp,h_c
419,0.14889851,MALDt2_2pp,mal__D_p
420,0.82953817,THRD_L,2obut_c
421,2.1403394,THRD_L,nh4_c
422,0.6641889,THRD_L,thr__L_c
423,0.04595283,PRAGSr,adp_c
424,0.03709245,PRAGSr,atp_c
425,0.3697213,PRAGSr,gly_c
426,0.20390259,PRAGSr,pram_c
427,0.1575777,PRAGSr,gar_c
428,0.19799177,PRAGSr,pi_c
429,1.6489043,PRAGSr,h_c
430,0.37436575,MAN6PI,f6p_c
431,0.4115801,MAN6PI,man6p_c
432,0.055647783,ADEtex,ade_p
433,0.055647783,ADEtex,ade_e
434,0.10614922,CGLYabcpp,adp_c
435,0.0933548,CGLYabcpp,atp_c
436,0.6098958,CGLYabcpp,h2o_c
437,0.15885213,CGLYabcpp,cgly_p
438,0.15885213,CGLYabcpp,cgly_c
439,0.45987004,CGLYabcpp,pi_c
440,0.664573,CGLYabcpp,h_c
441,0.33295858,NOVBCNtpp,h_p
442,0.035493676,NOVBCNtpp,novbcn_e
443,0.035493676,NOVBCNtpp,novbcn_p
444,0.33295858,NOVBCNtpp,h_c
445,0.2202573,NAt3pp,h_p
446,0.23195206,NAt3pp,na1_p
447,0.23195206,NAt3pp,na1_c
448,0.2202573,NAt3pp,h_c
449,0.04583326,PYDAMtex,pydam_e
450,0.04583326,PYDAMtex,pydam_p
451,1.2306194,XAND,h2o_c
452,0.037566263,XAND,xan_c
453,0.055264205,XAND,nad_c
454,0.21991725,XAND,urate_c
455,1.5766295,XAND,h_c
456,0.04326225,XAND,nadh_c
457,0.28515878,CA2tex,ca2_e
458,0.28515878,CA2tex,ca2_p
459,0.47520986,FDMO3,h2o_c
460,0.029873181,FDMO3,o2_c
461,0.011072419,FDMO3,fmn_c
462,0.24244988,FDMO3,ethso3_c
463,0.004628259,FDMO3,fmnh2_c
464,0.4448562,FDMO3,acald_c
465,0.43932903,FDMO3,so3_c
466,0.49983242,FDMO3,h_c
467,0.32764968,SLNTtex,slnt_e
468,0.32764968,SLNTtex,slnt_p
469,0.21208642,LCTStpp,h_p
470,0.5095091,LCTStpp,lcts_p
471,0.21208642,LCTStpp,h_c
472,0.5095091,LCTStpp,lcts_c
473,1.95633,NADDP,h2o_c
474,0.8010135,NADDP,nad_c
475,0.22795491,NADDP,amp_c
476,1.4149575,NADDP,nmn_c
477,2.0377312,NADDP,h_c
478,0.10608134,RMK,adp_c
479,0.09262619,RMK,atp_c
480,0.39633074,RMK,rml_c
481,0.41966018,RMK,rml1p_c
482,0.21610764,RMK,h_c
483,0.54603535,ASNN,asp__L_c
484,0.31640303,ASNN,h2o_c
485,0.97977716,ASNN,nh4_c
486,0.38643947,ASNN,asn__L_c
487,1.4929836,CD2t3pp,h_p
488,1.5133927,CD2t3pp,cd2_c
489,1.5133927,CD2t3pp,cd2_p
490,1.4929836,CD2t3pp,h_c
491,1.2567874,MANPGH,h2o_c
492,0.45401868,MANPGH,man6p_c
493,0.23765688,MANPGH,man6pglyc_c
494,0.4956719,MANPGH,glyc__R_c
495,0.12119337,TYRtex,tyr__L_e
496,0.12119337,TYRtex,tyr__L_p
497,0.02029926,GNK,adp_c
498,0.0180137,GNK,atp_c
499,0.07186403,GNK,glcn_c
500,0.37227085,GNK,h_c
501,0.12317174,GNK,6pgc_c
502,0.21203727,RPE,ru5p__D_c
503,0.19734788,RPE,xu5p__D_c
504,0.075995244,MALTPTabcpp,adp_c
505,0.06657078,MALTPTabcpp,atp_c
506,0.58609223,MALTPTabcpp,h2o_c
507,0.04475048,MALTPTabcpp,maltpt_p
508,0.27507895,MALTPTabcpp,pi_c
509,0.04475048,MALTPTabcpp,maltpt_c
510,0.67310685,MALTPTabcpp,h_c
511,0.12571289,FRULYStex,frulys_p
512,0.12571289,FRULYStex,frulys_e
513,1.5331115,FHL,h2_c
514,0.24410176,FHL,for_c
515,0.9169736,FHL,co2_c
516,1.7325636,FHL,h_c
517,0.16629593,CYSItex,cysi__L_e
518,0.16629593,CYSItex,cysi__L_p
519,0.2224605,SSALy,succ_c
520,0.6529436,SSALy,h2o_c
521,0.13360676,SSALy,nadph_c
522,0.21672893,SSALy,nadp_c
523,0.14548807,SSALy,sucsal_c
524,0.5579612,SSALy,h_c
525,0.05202738,ICHORS_copy2,ichor_c
526,0.016065728,ICHORS_copy2,chor_c
527,0.041405853,CU2abcpp,adp_c
528,0.05141346,CU2abcpp,atp_c
529,0.29169357,CU2abcpp,h2o_c
530,0.19781028,CU2abcpp,cu2_p
531,0.19781028,CU2abcpp,cu2_c
532,0.14226595,CU2abcpp,pi_c
533,0.19527107,CU2abcpp,h_c
534,1.6724919,THMDt2pp_copy1,h_p
535,0.43126917,THMDt2pp_copy1,thymd_p
536,1.6724919,THMDt2pp_copy1,h_c
537,0.43126917,THMDt2pp_copy1,thymd_c
538,0.38603657,LALALGLUtpp,h_p
539,0.46996605,LALALGLUtpp,LalaLglu_p
540,0.38603657,LALALGLUtpp,h_c
541,0.46996605,LALALGLUtpp,LalaLglu_c
542,0.17307734,G3PEtex,g3pe_p
543,0.17307734,G3PEtex,g3pe_e
544,0.08150826,TRPtex,trp__L_p
545,0.08150826,TRPtex,trp__L_e
546,0.46306002,GPDDA1,h2o_c
547,0.35941264,GPDDA1,g3pc_c
548,0.598594,GPDDA1,chol_c
549,0.28295058,GPDDA1,glyc3p_c
550,0.6130882,GPDDA1,h_c
551,0.5658027,PROt4pp,na1_p
552,0.2839379,PROt4pp,pro__L_c
553,0.2839379,PROt4pp,pro__L_p
554,0.5658027,PROt4pp,na1_c
555,0.075995244,MALTTTRabcpp,adp_c
556,0.06657078,MALTTTRabcpp,atp_c
557,0.58609223,MALTTTRabcpp,h2o_c
558,0.07718897,MALTTTRabcpp,maltttr_c
559,0.27507895,MALTTTRabcpp,pi_c
560,0.67310685,MALTTTRabcpp,h_c
561,0.07718897,MALTTTRabcpp,maltttr_p
562,0.10181629,GALabcpp,adp_c
563,0.09980341,GALabcpp,atp_c
564,0.9351135,GALabcpp,h2o_c
565,1.8198688,GALabcpp,gal_c
566,1.8198688,GALabcpp,gal_p
567,0.6556853,GALabcpp,pi_c
568,1.1395457,GALabcpp,h_c
569,55.626953,XYLI2,glc__D_c
570,51.904537,XYLI2,fru_c
571,0.33812428,G3PD6,dhap_c
572,0.23955488,G3PD6,glyc3p_c
573,0.020483233,G3PD6,mql8_c
574,0.020475943,G3PD6,mqn8_c
575,0.60443765,IG3PS,glu__L_c
576,0.043339614,IG3PS,aicar_c
577,0.7584142,IG3PS,gln__L_c
578,0.035439424,IG3PS,prlp_c
579,0.38569048,IG3PS,eig3p_c
580,3.275712,IG3PS,h_c
581,0.8346371,ALLtex,all__D_e
582,0.8346371,ALLtex,all__D_p
583,2.4037251,RMI,rmn_c
584,2.0422857,RMI,rml_c
585,0.08771709,ADK3,adp_c
586,0.12296345,ADK3,amp_c
587,0.13346648,ADK3,gdp_c
588,0.106697075,ADK3,gtp_c
589,0.05925542,O2tex,o2_p
590,0.05925542,O2tex,o2_e
591,0.06083247,DHBS,atp_c
592,0.049821634,DHBS,23dhba_c
593,0.19731525,DHBS,ppi_c
594,0.10770831,DHBS,23dhb_c
595,0.3802779,DHBS,h_c
596,0.029122354,ACOAD6f,fadh2_c
597,0.05128899,ACOAD6f,fad_c
598,0.034769543,ACOAD6f,tdcoa_c
599,0.033386454,ACOAD6f,td2coa_c
600,1.4720187,PLIPA2E160pp,h_p
601,0.07765062,PLIPA2E160pp,1agpe160_p
602,1.4922705,PLIPA2E160pp,h2o_p
603,0.07685082,PLIPA2E160pp,hdca_p
604,0.08161948,PLIPA2E160pp,pe160_p
605,0.26183045,Htex,h_p
606,0.26183045,Htex,h_e
607,2.294002,3AMACHYD,h2o_c
608,0.5418256,3AMACHYD,3amac_c
609,3.5300007,3AMACHYD,nh4_c
610,0.29445443,3AMACHYD,msa_c
611,2.2573657,3AMACHYD,h_c
612,14.435532,ALLTN,h2o_c
613,1.6981893,ALLTN,alltn_c
614,1.0934964,ALLTN,alltt_c
615,13.8692665,ALLTN,h_c
616,2.5802386,URACPAH,h2o_c
617,0.41300154,URACPAH,uracp_c
618,1.714596,URACPAH,cbm_c
619,3.762678,URACPAH,h_c
620,0.5909068,URACPAH,poaac_c
621,6.2405405,GALCTD,h2o_c
622,0.3593228,GALCTD,galct__D_c
623,0.33577386,GALCTD,5dh4dglc_c
624,0.374972,SERASr,atp_c
625,8.159186,SERASr,ser__L_c
626,0.42288676,SERASr,seramp_c
627,2.0646896,SERASr,ppi_c
628,3.4205425,SERASr,h_c
629,0.069715574,GLUabcpp,adp_c
630,0.067507535,GLUabcpp,atp_c
631,0.34625027,GLUabcpp,glu__L_c
632,0.46101803,GLUabcpp,h2o_c
633,0.34625027,GLUabcpp,glu__L_p
634,0.5081626,GLUabcpp,pi_c
635,0.46083418,GLUabcpp,h_c
636,1.6451524,GGGABADr,h2o_c
637,0.081650965,GGGABADr,nadph_c
638,0.21359202,GGGABADr,ggbutal_c
639,0.16006812,GGGABADr,nadp_c
640,0.24426068,GGGABADr,gg4abut_c
641,1.8344111,GGGABADr,h_c
642,0.046966594,CYSabc2pp,adp_c
643,0.0593761,CYSabc2pp,atp_c
644,0.15632468,CYSabc2pp,cys__L_p
645,0.46627513,CYSabc2pp,h2o_c
646,0.15632468,CYSabc2pp,cys__L_c
647,0.29245996,CYSabc2pp,pi_c
648,0.38514996,CYSabc2pp,h_c
649,0.39551225,SUCptspp,suc6p_c
650,0.22998519,SUCptspp,pep_c
651,0.34424442,SUCptspp,pyr_c
652,0.33953276,SUCptspp,sucr_p
653,0.2553839,GSNt3pp,h_p
654,0.10466821,GSNt3pp,gsn_p
655,0.10466821,GSNt3pp,gsn_c
656,0.2553839,GSNt3pp,h_c
657,0.12508093,GSPMDS,adp_c
658,0.09658669,GSPMDS,atp_c
659,0.40443826,GSPMDS,gthrd_c
660,0.22048132,GSPMDS,gtspmd_c
661,0.45218703,GSPMDS,spmd_c
662,0.839919,GSPMDS,pi_c
663,2.509915,GSPMDS,h_c
664,0.29995173,LYSAM,36dahx_c
665,0.3262069,LYSAM,lys__L_c
666,0.07490989,DHCIND,cenchddd_c
667,0.056461263,DHCIND,nad_c
668,0.031922963,DHCIND,dhcinnm_c
669,1.9143361,DHCIND,h_c
670,0.047626253,DHCIND,nadh_c
671,0.42564172,MALTtexi,malt_e
672,0.42564172,MALTtexi,malt_p
673,0.30108008,23PDE7pp,h_p
674,0.028267585,23PDE7pp,3amp_p
675,0.026743945,23PDE7pp,23camp_p
